name,period-start,period-end,value,currency
,,,,
United Nations Development Programme,01/01/2015,31/12/2015,4162138803,USD
,,,,
United Nations Development Programme,01/01/2016,31/12/2016,3814354609,USD
,,,,
United Nations Development Programme,01/01/2017,31/12/2017,4324984793,USD
,,,,
United Nations Development Programme,01/01/2018,31/12/2018,3121714503,USD
,,,,
United Nations Development Programme,01/01/2019,31/12/2019,252364076,USD
,,,,
UK Department for International Development,01/04/2014,31/03/2015,9777267000,GBP
,,,,
UK Department for International Development,01/04/2015,31/03/2016,9885711000,GBP
,,,,
UK Department for International Development,01/04/2016,31/03/2017,10441904000,GBP
,,,,
UK Department for International Development,01/04/2017,31/03/2018,10968643000,GBP
,,,,
Inter-American Development Bank,01/01/2004,31/12/2004,437176069.4,USD
,,,,
Inter-American Development Bank,01/01/2005,31/12/2005,2497215118,USD
,,,,
Inter-American Development Bank,01/01/2006,31/12/2006,3645634925,USD
,,,,
Inter-American Development Bank,01/01/2007,31/12/2007,4493981767,USD
,,,,
Inter-American Development Bank,01/01/2008,31/12/2008,4877788324,USD
,,,,
Inter-American Development Bank,01/01/2009,31/12/2009,10147629257,USD
,,,,
Inter-American Development Bank,01/01/2010,31/12/2010,9735012509,USD
,,,,
Inter-American Development Bank,01/01/2011,31/12/2011,7456048223,USD
,,,,
Inter-American Development Bank,01/01/2012,31/12/2012,6224723032,USD
,,,,
Inter-American Development Bank,01/01/2013,31/12/2013,8848508830,USD
,,,,
Inter-American Development Bank,01/01/2014,31/12/2014,8474326048,USD
,,,,
Inter-American Development Bank,01/01/2015,31/12/2015,9015691205,USD
,,,,
Inter-American Development Bank,01/01/2016,31/12/2016,8650910759,USD
,,,,
Inter-American Development Bank,01/01/2017,31/12/2017,8781549756,USD
,,,,
Inter-American Development Bank,01/01/2018,31/12/2018,9781384256,USD
,,,,
DG Neighbourhood and Enlargement Negotiations,01/01/2017,31/12/2017,3367010721,EUR
,,,,
DG Neighbourhood and Enlargement Negotiations,01/01/2016,31/12/2016,3064462201,EUR
,,,,
DG Neighbourhood and Enlargement Negotiations,01/01/2015,31/12/2015,2289283152,EUR
,,,,
European Commission - Development and Cooperation - EuropeAid,01/01/2017,31/12/2017,6719197013,EUR
,,,,
European Commission - Development and Cooperation - EuropeAid,01/01/2016,31/12/2016,5908669335,EUR
,,,,
European Commission - Development and Cooperation - EuropeAid,01/01/2015,31/12/2015,5160203098,EUR
,,,,
Department of State and USAID,01/01/2018,31/12/2018,10465894141,USD
,,,,
Department of State and USAID,01/10/2017,30/09/2018,14344846199,USD
,,,,
Department of State and USAID,01/01/2017,31/12/2017,14035081834,USD
,,,,
Department of State and USAID,01/10/2016,30/09/2017,13939727413,USD
,,,,
Department of State and USAID,01/01/2016,31/12/2016,13228852319,USD
,,,,
Department of State and USAID,01/10/2015,30/09/2016,12883272043,USD
,,,,
Department of State and USAID,01/01/2015,31/12/2015,13218116324,USD
,,,,
Department of State and USAID,01/10/2014,30/09/2015,13661447379,USD
,,,,
Department of State and USAID,01/01/2014,31/12/2014,13240866525,USD
,,,,
Department of State and USAID,01/10/2013,30/09/2014,12219850891,USD
,,,,
Australian Aid,01/07/2014,30/06/2015,5054030000,AUD
,,,,
Australian Aid,01/07/2015,30/06/2016,4209509000,AUD
,,,,
Australian Aid,01/07/2016,30/06/2017,4033530000,AUD
,,,,
Swiss Agency for Development and Cooperation (SDC),01/01/2016,31/12/2016,2222974065,CHF
,,,,
"Ministry of Foreign Affairs, Denmark",01/01/2013,31/12/2013,16419074129,DKK
,,,,
"Ministry of Foreign Affairs, Denmark",01/01/2014,31/12/2014,16873392492,DKK
,,,,
"Ministry of Foreign Affairs, Denmark",01/01/2015,31/12/2015,17254322293,DKK
,,,,
"Ministry of Foreign Affairs, Denmark",01/01/2016,31/12/2016,15946352463,DKK
,,,,
"Ministry of Foreign Affairs, Denmark",01/01/2017,31/12/2017,16160705158,DKK
,,,,
"Ministry of Foreign Affairs, Denmark",01/01/2018,31/12/2018,16278303792,DKK
,,,,
Bill and Melinda Gates Organization,01/01/2015,31/12/2015,3257400573,USD
,,,,
Bill and Melinda Gates Organization,01/01/2016,31/12/2016,3857502945,USD
,,,,
Bill and Melinda Gates Organization,01/01/2017,31/12/2017,3866015719,USD
,,,,
"""Office for Government Policy Coordination""",01/01/2018,31/12/2018,8987480845,KRW
,,,,
"""Economic Development Cooperation Fund""",01/01/2018,31/12/2018,8.94698E+11,KRW
,,,,
"""Ministry of Education""",01/01/2018,31/12/2018,66065932749,KRW
,,,,
"""Ministry of Science and ICT""",01/01/2018,31/12/2018,14372500000,KRW
,,,,
"""Ministry of Foreign Affairs and Trade """,01/01/2018,31/12/2018,2.539E+11,KRW
,,,,
"""Korean International Cooperation Agency""",01/01/2018,31/12/2018,6.83745E+11,KRW
,,,,
"""Ministry of Justice""",01/01/2018,31/12/2018,359815664,KRW
,,,,
"""Ministry of the Interior and Safety""",01/01/2018,31/12/2018,8605667761,KRW
,,,,
"""Ministry of Culture, Sports, and Tourism""",01/01/2018,31/12/2018,12357560000,KRW
,,,,
"""Ministry of Agriculture, Food and Rural Affairs""",01/01/2018,31/12/2018,26755422465,KRW
,,,,
"""Ministry of Trade, Industry and Energy""",01/01/2018,31/12/2018,30919000000,KRW
,,,,
"""Ministry of Health and Welfare""",01/01/2018,31/12/2018,45320731353,KRW
,,,,
"""Ministry of Environment""",01/01/2018,31/12/2018,12104257139,KRW
,,,,
"""Ministry of Employment and Labor""",01/01/2018,31/12/2018,8100908710,KRW
,,,,
"""Ministry of Gender Equality and Family""",01/01/2018,31/12/2018,6310389390,KRW
,,,,
"""Ministry of Land, Infrastructure and Transport""",01/01/2018,31/12/2018,10496177214,KRW
,,,,
"""Ministry of Oceans and Fisheries""",01/01/2018,31/12/2018,8904760900,KRW
,,,,
"""Ministry of Personnel Management""",01/01/2018,31/12/2018,23686980000,KRW
,,,,
"""Ministry of Food and Drug Safety""",01/01/2018,31/12/2018,2293000000,KRW
,,,,
"""Korea Customs Service""",01/01/2018,31/12/2018,5073102000,KRW
,,,,
"""Statistics Korea""",01/01/2018,31/12/2018,2492311340,KRW
,,,,
"""Cultural Heritage Administration""",01/01/2018,31/12/2018,2749369967,KRW
,,,,
"""Rural Development Administration""",01/01/2018,31/12/2018,20978232899,KRW
,,,,
"""Korea Forest Service""",01/01/2018,31/12/2018,12969946186,KRW
,,,,
"""Korean Intellectual Property Office""",01/01/2018,31/12/2018,1450860315,KRW
,,,,
"""Korea Meteorological Administration""",01/01/2018,31/12/2018,3328000000,KRW
,,,,
"""Constitutional Court of Korea""",01/01/2018,31/12/2018,26000000,KRW
,,,,
"""Fair Trade Commission""",01/01/2018,31/12/2018,65537228,KRW
,,,,
"""Anti·Corruption and Civil Rights Commission""",01/01/2018,31/12/2018,75765651,KRW
,,,,
"""National Election Commission""",01/01/2018,31/12/2018,4076714787,KRW
,,,,
"""Gangwon Province""",01/01/2018,31/12/2018,422999992,KRW
,,,,
"""Gyeonggi-do""",01/01/2018,31/12/2018,3015890442,KRW
,,,,
"""Gyeongsangnam-do""",01/01/2018,31/12/2018,100000000,KRW
,,,,
